x^2 - x - 1
x^2 - x + 1
x^2 + 1
x^2 - 2
x^2 + 2
x^2 - x + 2
x^2 - x + 3
x^2 - 3
x^2 - x - 3
x^2 - x - 4
x^2 - x + 4
x^2 + 5
x^2 - x - 5
x^2 - x + 5
x^2 - x + 6
x^2 - 6
x^2 + 6
x^2 - x - 7
x^2 - 7
x^2 - x - 8
x^2 - x + 8
x^2 - x - 9
x^2 - x + 9
x^2 + 10
x^2 - x + 10
x^2 - x - 10
x^2 - 10
x^2 - x + 11
x^2 - 11
x^2 - x + 12
x^2 - x + 13
x^2 - x - 13
x^2 + 13
x^2 - x - 14
x^2 - 14
x^2 + 14
x^2 - x + 14
x^2 - x + 15
x^2 - 15
x^2 - x - 15
x^2 - x - 16
x^2 - x + 17
x^2 - x - 17
x^2 + 17
x^2 - x - 18
x^2 - x + 18
x^2 - x - 19
x^2 - 19
x^2 - x + 20
x^2 + 21
x^2 - x + 21
x^2 - x - 21
x^2 - x - 22
x^2 + 22
x^2 - 22
x^2 - x + 22
x^2 - x + 23
x^2 - 23
x^2 - x - 23
x^2 - x + 24
x^2 - x - 24
x^2 - x - 25
x^2 - x - 26
x^2 - 26
x^2 - x + 26
x^2 + 26
x^2 - x - 27
x^2 - x + 27
x^2 - x + 28
x^2 - x - 28
x^2 + 29
x^2 - x + 29
x^2 - 30
x^2 + 30
x^2 - x + 30
x^2 - 31
x^2 - x + 31
x^2 - x + 32
x^2 - x - 32
x^2 - x - 33
x^2 + 33
x^2 - x + 33
x^2 - 34
x^2 - x - 34
x^2 + 34
x^2 - x + 35
x^2 - x - 35
x^2 - 35
x^2 - x + 36
x^2 - x - 36
x^2 - x - 37
x^2 + 37
x^2 - 38
x^2 + 38
x^2 - x + 38
x^2 - x - 39
x^2 - 39
x^2 - x + 39
x^2 - x - 40
x^2 - x + 40
x^2 + 41
x^2 - x - 41
x^2 - x + 41
x^2 - x + 42
x^2 + 42
x^2 - 42
x^2 - 43
x^2 - x - 43
x^2 - x - 44
x^2 - x + 45
x^2 - x - 45
x^2 + 46
x^2 - x - 46
x^2 - 46
x^2 - x + 46
x^2 - 47
x^2 - x + 47
x^2 - x + 48
x^2 - x - 48
x^2 - x - 49
x^2 - x + 49
x^2 - x - 50
x^2 - x + 50
x^2 - x - 51
x^2 - 51
x^2 - x + 51
x^2 - x - 52
x^2 + 53
x^2 - x + 53
x^2 - x - 53
x^2 - x + 54
x^2 - x - 54
x^2 - x + 55
x^2 - x - 55
x^2 - 55
x^2 - x + 56
x^2 - x - 57
x^2 - x + 57
x^2 + 57
x^2 + 58
x^2 - x + 58
x^2 - x - 58
x^2 - 58
x^2 - 59
x^2 - x + 59
x^2 - x - 59
x^2 - x - 60
x^2 - x + 60
x^2 + 61
x^2 - x + 62
x^2 - 62
x^2 - x - 62
x^2 + 62
x^2 - x + 63
x^2 - x - 63
x^2 - x + 64
x^2 - x - 64
x^2 - x + 65
x^2 + 65
x^2 - x - 66
x^2 - 66
x^2 + 66
x^2 - x + 66
x^2 - 67
x^2 - x + 67
x^2 - x - 67
x^2 - x + 68
x^2 - x - 68
x^2 - x - 69
x^2 + 69
x^2 + 70
x^2 - 70
x^2 - x - 70
x^2 - x - 71
x^2 - 71
x^2 - x + 71
x^2 - x + 72
x^2 - x + 73
x^2 - x - 73
x^2 + 73
x^2 + 74
x^2 - 74
x^2 - x + 74
x^2 - x - 75
x^2 - x + 75
x^2 - x + 76
x^2 - x - 76
x^2 - x + 77
x^2 - x - 77
x^2 + 77
x^2 - x - 78
x^2 - 78
x^2 + 78
x^2 - x + 78
x^2 - x - 79
x^2 - 79
x^2 - x + 80
x^2 - x - 80
x^2 - x + 81
x^2 - 82
x^2 + 82
x^2 - x - 82
x^2 - x + 82
x^2 - 83
x^2 - x + 83
x^2 - x - 84
x^2 - x + 84
x^2 - x + 85
x^2 - x - 85
x^2 + 85
x^2 - 86
x^2 - x - 86
x^2 + 86
x^2 - x - 87
x^2 - 87
x^2 - x + 87
x^2 - x - 88
x^2 - x - 89
x^2 - x + 89
x^2 + 89
x^2 - x + 90
x^2 - x - 91
x^2 - 91
x^2 - x + 92
x^2 + 93
x^2 - x + 93
x^2 - x - 93
x^2 + 94
x^2 - 94
x^2 - x - 94
x^2 - x + 95
x^2 - x - 95
x^2 - 95
x^2 - x - 96
x^2 - x + 96
x^2 + 97
x^2 - x - 97
x^2 - x + 98
x^2 - x - 98
x^2 - x + 99
x^2 - x - 99
x^2 - x - 100
x^2 - x + 100
x^2 + 101
x^2 - x + 101
x^2 - 102
x^2 - x + 102
x^2 - x - 102
x^2 + 102
x^2 - x - 103
x^2 - 103
x^2 - x + 103
x^2 - x + 104
x^2 - x - 104
x^2 - x + 105
x^2 + 105
x^2 - x - 105
x^2 + 106
x^2 - 106
x^2 - x - 107
x^2 - x + 107
x^2 - 107
x^2 - x - 108
x^2 - x + 108
x^2 + 109
x^2 - x + 109
x^2 - x - 109
x^2 - x + 110
x^2 - 110
x^2 + 110
x^2 - 111
x^2 - x - 111
x^2 - x + 111
x^2 - x - 112
x^2 - x + 112
x^2 - x - 113
x^2 + 113
x^2 - x + 113
x^2 + 114
x^2 - x - 114
x^2 - x + 114
x^2 - 114
x^2 - 115
x^2 - x - 115
x^2 - x + 116
x^2 - x - 116
x^2 - x - 117
x^2 - x + 117
x^2 - x - 118
